model_name,roc_auc,pr_auc,f1,mcc
Original - BalancedRandomForest RFE,0.932962962962963,0.8108226572545335,0.7368421052631579,0.6531133069953352
Original - BalancedRandomForest RFE,0.932962962962963,0.8108226572545335,0.7368421052631579,0.6531133069953352
Original - Com Escalonamento - RUSBoost RFE,0.914074074074074,0.7397717936805362,0.7297297297297297,0.6389784510646974
Original - Com Escalonamento - RUSBoost RFE,0.914074074074074,0.7397717936805362,0.7297297297297297,0.6389784510646974
Limpo Escalonado Numericas - RUSBoost RFE,0.9148148148148149,0.7408382273731966,0.72,0.6260990336999411
Limpo Escalonado Numericas - RUSBoost RFE,0.9148148148148149,0.7408382273731966,0.72,0.6260990336999411
Original - Com Escalonamento - BalancedRandomForest RFE,0.9270370370370371,0.8033556410665682,0.7222222222222222,0.6254017837577625
Original - Com Escalonamento - BalancedRandomForest RFE,0.9270370370370371,0.8033556410665682,0.7222222222222222,0.6254017837577625
Limpos - Sem Escalonamento - BalancedRandomForest RFE,0.914074074074074,0.7798555887593597,0.7012987012987013,0.6012552044258085
Limpos - Sem Escalonamento - BalancedRandomForest RFE,0.914074074074074,0.7798555887593597,0.7012987012987013,0.6012552044258085
Original - BalancedRandomForest,0.9114814814814816,0.7913991607362463,0.7027027027027027,0.5990422978731538
Original - BalancedRandomForest,0.9114814814814816,0.7913991607362463,0.7027027027027027,0.5990422978731538
Limpo Escalonado Geral - BalancedRandomForest RFE,0.8903703703703704,0.7119808089333932,0.6944444444444444,0.5850532815798424
Limpo Escalonado Geral - BalancedRandomForest RFE,0.8903703703703704,0.7119808089333932,0.6944444444444444,0.5850532815798424
Original - RUSBoost RFE,0.9020370370370371,0.7622564821971195,0.6756756756756757,0.5591061446816102
Original - RUSBoost RFE,0.9020370370370371,0.7622564821971195,0.6756756756756757,0.5591061446816102
Original - Com Escalonamento - BalancedRandomForest,0.9103703703703703,0.7858081020201458,0.6666666666666666,0.5447047794019222
Original - Com Escalonamento - BalancedRandomForest,0.9103703703703703,0.7858081020201458,0.6666666666666666,0.5447047794019222
Limpos - Sem Escalonamento - RUSBoost RFE,0.9148148148148149,0.7595421715498386,0.6666666666666666,0.5444279703692063
Limpos - Sem Escalonamento - RUSBoost RFE,0.9148148148148149,0.7595421715498386,0.6666666666666666,0.5444279703692063
Limpo Escalonado Geral - LightGBM,0.9081481481481481,0.7579266811151695,0.5957446808510638,0.5380974161250304
Limpo Escalonado Numericas - LightGBM SMOTE,0.8996296296296296,0.752560478224111,0.5957446808510638,0.5380974161250304
Limpo Escalonado Numericas - LightGBM Ponderado RFE,0.9181481481481482,0.7781276303877593,0.5957446808510638,0.5380974161250304
Limpo Escalonado Numericas - LightGBM,0.9081481481481481,0.7579266811151695,0.5957446808510638,0.5380974161250304
