date,count,title,type
06/14/2025,5830,28 Weeks Later,movies
06/15/2025,5400,28 Weeks Later,movies
06/16/2025,10400,28 Weeks Later,movies
06/17/2025,11400,28 Weeks Later,movies
06/18/2025,18500,28 Weeks Later,movies
06/19/2025,16600,28 Weeks Later,movies
06/20/2025,22500,28 Weeks Later,movies
06/14/2025,4370,A Minecraft Movie,movies
06/15/2025,2950,A Minecraft Movie,movies
06/16/2025,5690,A Minecraft Movie,movies
06/17/2025,6390,A Minecraft Movie,movies
06/18/2025,5730,A Minecraft Movie,movies
06/19/2025,5900,A Minecraft Movie,movies
06/20/2025,6440,A Minecraft Movie,movies
06/14/2025,1,Cleaner,movies
06/15/2025,0,Cleaner,movies
06/16/2025,9960,Cleaner,movies
06/17/2025,12000,Cleaner,movies
06/18/2025,14800,Cleaner,movies
06/19/2025,13600,Cleaner,movies
06/20/2025,15600,Cleaner,movies
06/14/2025,10300,Deep Cover,movies
06/15/2025,8340,Deep Cover,movies
06/16/2025,17300,Deep Cover,movies
06/17/2025,18800,Deep Cover,movies
06/18/2025,24200,Deep Cover,movies
06/19/2025,21800,Deep Cover,movies
06/20/2025,25700,Deep Cover,movies
06/14/2025,4,Echo Valley,movies
06/15/2025,9,Echo Valley,movies
06/16/2025,6,Echo Valley,movies
06/17/2025,1,Echo Valley,movies
06/18/2025,2,Echo Valley,movies
06/19/2025,0,Echo Valley,movies
06/20/2025,10,Echo Valley,movies
06/14/2025,6430,How to Train Your Dragon,movies
06/15/2025,8240,How to Train Your Dragon,movies
06/16/2025,16700,How to Train Your Dragon,movies
06/17/2025,15300,How to Train Your Dragon,movies
06/18/2025,18900,How to Train Your Dragon,movies
06/19/2025,17900,How to Train Your Dragon,movies
06/20/2025,20800,How to Train Your Dragon,movies
06/14/2025,4240,Jaws,movies
06/15/2025,3530,Jaws,movies
06/16/2025,7750,Jaws,movies
06/17/2025,3,Jaws,movies
06/18/2025,2,Jaws,movies
06/19/2025,11800,Jaws,movies
06/20/2025,16400,Jaws,movies
06/14/2025,5,Mickey 17,movies
06/15/2025,3,Mickey 17,movies
06/16/2025,2,Mickey 17,movies
06/17/2025,5170,Mickey 17,movies
06/18/2025,3710,Mickey 17,movies
06/19/2025,1,Mickey 17,movies
06/20/2025,5,Mickey 17,movies
06/14/2025,0,Predator: Killer of Killers,movies
06/15/2025,0,Predator: Killer of Killers,movies
06/16/2025,0,Predator: Killer of Killers,movies
06/17/2025,1,Predator: Killer of Killers,movies
06/18/2025,0,Predator: Killer of Killers,movies
06/19/2025,0,Predator: Killer of Killers,movies
06/20/2025,1,Predator: Killer of Killers,movies
06/14/2025,3,STRAW,movies
06/15/2025,3,STRAW,movies
06/16/2025,3,STRAW,movies
06/17/2025,16100,STRAW,movies
06/18/2025,19300,STRAW,movies
06/19/2025,18400,STRAW,movies
06/20/2025,19200,STRAW,movies
06/14/2025,0,The Accountant²,movies
06/15/2025,8,The Accountant²,movies
06/16/2025,1,The Accountant²,movies
06/17/2025,1,The Accountant²,movies
06/18/2025,0,The Accountant²,movies
06/19/2025,0,The Accountant²,movies
06/20/2025,0,The Accountant²,movies
06/14/2025,3680,The Substance,movies
06/15/2025,2710,The Substance,movies
06/16/2025,12400,The Substance,movies
06/17/2025,11000,The Substance,movies
06/18/2025,9,The Substance,movies
06/19/2025,10200,The Substance,movies
06/20/2025,12700,The Substance,movies
06/14/2025,2,Andor,tv-shows
06/15/2025,3,Andor,tv-shows
06/16/2025,2,Andor,tv-shows
06/17/2025,2,Andor,tv-shows
06/18/2025,6,Andor,tv-shows
06/19/2025,5,Andor,tv-shows
06/20/2025,3,Andor,tv-shows
06/14/2025,7,Dept. Q,tv-shows
06/15/2025,4,Dept. Q,tv-shows
06/16/2025,1640,Dept. Q,tv-shows
06/17/2025,5,Dept. Q,tv-shows
06/18/2025,3,Dept. Q,tv-shows
06/19/2025,5,Dept. Q,tv-shows
06/20/2025,3,Dept. Q,tv-shows
